,id_student,gender,region,highest_education,age_band,disability,final_result,score
0,11391,M,East Anglian Region,HE Qualification,55<=,N,Pass,82.0
1,28400,F,Scotland,HE Qualification,35-55,N,Pass,67.0
2,31604,F,South East Region,A Level or Equivalent,35-55,N,Pass,76.0
3,32885,F,West Midlands Region,Lower Than A Level,0-35,N,Pass,55.0
4,38053,M,Wales,A Level or Equivalent,35-55,N,Pass,68.0
5,45462,M,Scotland,HE Qualification,0-35,N,Pass,68.0
6,45642,F,North Western Region,A Level or Equivalent,0-35,N,Pass,73.0
7,52130,F,East Anglian Region,A Level or Equivalent,0-35,N,Pass,72.0
8,53025,M,North Region,Post Graduate Qualification,55<=,N,Pass,78.0
9,57506,M,South Region,Lower Than A Level,35-55,N,Pass,74.0
10,58873,F,East Anglian Region,A Level or Equivalent,0-35,N,Pass,74.0
11,59185,M,East Anglian Region,Lower Than A Level,35-55,N,Pass,79.0
12,62155,F,North Western Region,HE Qualification,0-35,N,Pass,76.0
13,63400,M,Scotland,Lower Than A Level,35-55,N,Pass,72.0
14,65002,F,East Anglian Region,A Level or Equivalent,0-35,N,Withdrawn,67.0
15,65002,F,East Anglian Region,A Level or Equivalent,0-35,N,Fail,67.0
16,70464,F,West Midlands Region,A Level or Equivalent,35-55,N,Pass,56.0
17,71361,M,Ireland,HE Qualification,35-55,N,Pass,81.0
18,74372,M,East Anglian Region,A Level or Equivalent,35-55,N,Fail,49.0
19,75091,M,South West Region,A Level or Equivalent,35-55,N,Pass,66.0
20,77367,M,East Midlands Region,A Level or Equivalent,0-35,N,Pass,71.0
21,91265,M,North Western Region,HE Qualification,0-35,N,Pass,71.0
22,94961,M,South Region,Lower Than A Level,35-55,N,Withdrawn,66.0
23,94961,M,South Region,Lower Than A Level,35-55,N,Pass,66.0
24,98094,M,Wales,Lower Than A Level,35-55,N,Pass,61.0
25,100893,M,Yorkshire Region,A Level or Equivalent,0-35,N,Pass,69.0
26,101781,M,South Region,Lower Than A Level,35-55,N,Pass,73.0
27,102806,M,North Western Region,A Level or Equivalent,0-35,N,Pass,78.0
28,102952,M,London Region,HE Qualification,0-35,N,Pass,77.0
29,104476,M,Ireland,Post Graduate Qualification,35-55,N,Pass,80.0
30,106247,M,South Region,HE Qualification,35-55,N,Withdrawn,60.0
31,106577,M,East Midlands Region,Lower Than A Level,0-35,N,Pass,54.0
32,110175,M,East Anglian Region,HE Qualification,35-55,N,Pass,64.0
33,111717,F,East Anglian Region,HE Qualification,35-55,N,Pass,81.0
34,113295,M,Yorkshire Region,Lower Than A Level,35-55,N,Pass,78.0
35,114017,F,North Region,Post Graduate Qualification,35-55,N,Pass,72.0
36,114999,M,Yorkshire Region,HE Qualification,35-55,N,Pass,73.0
37,116541,M,Wales,HE Qualification,0-35,N,Pass,63.0
38,116692,M,East Anglian Region,A Level or Equivalent,35-55,N,Pass,75.0
39,118983,M,East Midlands Region,HE Qualification,0-35,N,Pass,62.0
40,123044,M,South Region,A Level or Equivalent,35-55,N,Pass,72.0
41,127582,F,East Midlands Region,A Level or Equivalent,0-35,N,Pass,70.0
42,129955,M,West Midlands Region,A Level or Equivalent,0-35,N,Withdrawn,81.0
43,129955,M,West Midlands Region,A Level or Equivalent,0-35,N,Withdrawn,81.0
44,132976,F,East Anglian Region,Lower Than A Level,35-55,N,Pass,68.0
45,134143,F,South East Region,A Level or Equivalent,35-55,N,Distinction,85.0
46,135400,F,South East Region,Lower Than A Level,35-55,Y,Withdrawn,54.0
47,135400,F,South East Region,Lower Than A Level,35-55,Y,Pass,54.0
48,137873,M,South West Region,A Level or Equivalent,35-55,N,Pass,81.0
49,141355,F,East Midlands Region,A Level or Equivalent,0-35,N,Pass,73.0
50,141377,M,South West Region,A Level or Equivalent,0-35,N,Withdrawn,49.0
51,141377,M,South West Region,A Level or Equivalent,0-35,N,Pass,49.0
52,142326,F,North Region,A Level or Equivalent,35-55,N,Pass,74.0
53,144801,F,South Region,HE Qualification,35-55,N,Pass,69.0
54,145130,M,South West Region,HE Qualification,0-35,N,Pass,55.0
55,146188,F,West Midlands Region,A Level or Equivalent,0-35,Y,Fail,50.0
56,147756,M,North Region,Lower Than A Level,0-35,N,Fail,69.0
57,147756,M,North Region,Lower Than A Level,0-35,N,Pass,69.0
58,147793,F,North Region,Lower Than A Level,0-35,N,Withdrawn,52.0
59,148993,F,North Western Region,A Level or Equivalent,35-55,Y,Withdrawn,80.0
60,148993,F,North Western Region,A Level or Equivalent,35-55,Y,Pass,80.0
61,151358,F,London Region,A Level or Equivalent,0-35,N,Pass,50.0
62,155550,M,London Region,A Level or Equivalent,35-55,N,Pass,67.0
63,155854,F,East Midlands Region,A Level or Equivalent,35-55,N,Pass,80.0
64,155984,F,East Anglian Region,Lower Than A Level,0-35,N,Withdrawn,79.0
65,155984,F,East Anglian Region,Lower Than A Level,0-35,N,Pass,79.0
66,157568,F,South West Region,A Level or Equivalent,0-35,N,Pass,71.0
67,159954,M,East Midlands Region,A Level or Equivalent,35-55,N,Withdrawn,69.0
68,159954,M,East Midlands Region,A Level or Equivalent,35-55,N,Withdrawn,69.0
69,164259,M,Scotland,A Level or Equivalent,0-35,N,Pass,72.0
70,167906,F,Yorkshire Region,A Level or Equivalent,35-55,N,Pass,70.0
71,168936,F,West Midlands Region,Lower Than A Level,35-55,N,Pass,67.0
72,172112,M,Ireland,HE Qualification,35-55,N,Pass,70.0
73,172797,F,Ireland,A Level or Equivalent,35-55,N,Pass,62.0
74,174782,M,East Anglian Region,HE Qualification,55<=,N,Pass,81.0
75,175392,M,North Region,HE Qualification,35-55,N,Pass,83.0
76,175932,M,North Western Region,HE Qualification,35-55,N,Pass,79.0
77,175991,F,North Western Region,A Level or Equivalent,0-35,N,Fail,38.0
78,180753,M,South West Region,A Level or Equivalent,0-35,N,Pass,54.0
79,181316,F,South West Region,A Level or Equivalent,35-55,N,Withdrawn,76.0
80,183096,F,South West Region,A Level or Equivalent,0-35,N,Pass,54.0
81,183947,M,London Region,A Level or Equivalent,0-35,N,Pass,49.0
82,184271,M,South West Region,HE Qualification,35-55,N,Pass,60.0
83,185439,M,London Region,HE Qualification,0-35,N,Fail,74.0
84,186149,M,Scotland,HE Qualification,35-55,N,Pass,76.0
85,187100,M,South East Region,A Level or Equivalent,35-55,N,Distinction,90.0
86,188278,M,Yorkshire Region,A Level or Equivalent,35-55,N,Withdrawn,72.0
87,188278,M,Yorkshire Region,A Level or Equivalent,35-55,N,Pass,72.0
88,189879,M,Scotland,A Level or Equivalent,0-35,N,Pass,80.0
89,192183,F,South West Region,Lower Than A Level,0-35,N,Pass,69.0
90,195262,M,London Region,A Level or Equivalent,0-35,N,Withdrawn,50.0
91,200860,M,London Region,Lower Than A Level,35-55,N,Pass,55.0
92,202635,F,Wales,A Level or Equivalent,0-35,N,Withdrawn,67.0
93,205350,M,South West Region,HE Qualification,35-55,N,Pass,73.0
94,205719,M,East Anglian Region,A Level or Equivalent,0-35,Y,Fail,57.0
95,227499,F,London Region,A Level or Equivalent,35-55,N,Distinction,84.0
96,227517,M,Ireland,HE Qualification,0-35,N,Fail,63.0
97,228082,M,London Region,HE Qualification,0-35,N,Pass,73.0
98,228222,M,East Midlands Region,Lower Than A Level,0-35,N,Pass,62.0
99,229179,M,West Midlands Region,A Level or Equivalent,0-35,N,Pass,66.0
100,229361,M,East Midlands Region,A Level or Equivalent,0-35,N,Pass,78.0
101,231554,M,London Region,A Level or Equivalent,0-35,N,Pass,68.0
102,235507,M,Yorkshire Region,A Level or Equivalent,0-35,N,Withdrawn,58.0
103,235507,M,Yorkshire Region,A Level or Equivalent,0-35,N,Pass,58.0
104,236284,M,Scotland,Post Graduate Qualification,0-35,N,Pass,78.0
105,238007,M,South Region,HE Qualification,55<=,N,Pass,80.0
106,240712,M,London Region,HE Qualification,0-35,N,Pass,76.0
107,240884,M,South Region,A Level or Equivalent,0-35,N,Pass,59.0
108,241649,M,East Anglian Region,HE Qualification,35-55,N,Pass,79.0
109,241729,F,East Midlands Region,HE Qualification,35-55,N,Fail,59.0
110,242793,M,London Region,HE Qualification,35-55,N,Pass,78.0
111,246834,M,South West Region,A Level or Equivalent,35-55,N,Pass,56.0
112,248270,M,North Western Region,Lower Than A Level,0-35,N,Pass,79.0
113,255548,M,Wales,Lower Than A Level,35-55,N,Pass,72.0
114,256815,M,North Western Region,HE Qualification,0-35,N,Pass,77.0
115,258392,F,West Midlands Region,Lower Than A Level,0-35,N,Pass,59.0
116,258894,F,East Anglian Region,Lower Than A Level,35-55,N,Pass,65.0
